I, [2022-07-15T12:32:22.976549 #46384]  INFO -- Kitchen: -----> Starting Test Kitchen (v3.3.1)
E, [2022-07-15T12:32:22.982417 #46384] ERROR -- Kitchen: ------Exception-------
E, [2022-07-15T12:32:22.982856 #46384] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2022-07-15T12:32:22.982897 #46384] ERROR -- Kitchen: Message: Kitchen YAML file C:/chef-repo/cookbooks/lamp/recipes/kitchen.yml does not exist.
E, [2022-07-15T12:32:22.982933 #46384] ERROR -- Kitchen: ----------------------
E, [2022-07-15T12:32:22.982965 #46384] ERROR -- Kitchen: ------Backtrace-------
E, [2022-07-15T12:32:22.982996 #46384] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2022-07-15T12:32:22.984719 #46384] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/config.rb:153:in `data'
E, [2022-07-15T12:32:22.984762 #46384] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/config.rb:131:in `suites'
E, [2022-07-15T12:32:22.984876 #46384] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/config.rb:183:in `filter_instances'
E, [2022-07-15T12:32:22.984935 #46384] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/config.rb:142:in `build_instances'
E, [2022-07-15T12:32:22.984967 #46384] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/config.rb:116:in `instances'
E, [2022-07-15T12:32:22.984992 #46384] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/command.rb:109:in `filtered_instances'
E, [2022-07-15T12:32:22.985122 #46384] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/command.rb:139:in `parse_subcommand'
E, [2022-07-15T12:32:22.985196 #46384] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/command/action.rb:34:in `block in call'
E, [2022-07-15T12:32:22.985261 #46384] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/3.0.0/benchmark.rb:293:in `measure'
E, [2022-07-15T12:32:22.985348 #46384] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/command/action.rb:33:in `call'
E, [2022-07-15T12:32:22.985550 #46384] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/cli.rb:52:in `perform'
E, [2022-07-15T12:32:22.985593 #46384] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2022-07-15T12:32:22.985622 #46384] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/command.rb:27:in `run'
E, [2022-07-15T12:32:22.985648 #46384] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/invocation.rb:127:in `invoke_command'
E, [2022-07-15T12:32:22.985804 #46384] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor.rb:392:in `dispatch'
E, [2022-07-15T12:32:22.985831 #46384] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/base.rb:485:in `start'
E, [2022-07-15T12:32:22.985856 #46384] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/bin/kitchen:11:in `block in <top (required)>'
E, [2022-07-15T12:32:22.985882 #46384] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/errors.rb:183:in `with_friendly_errors'
E, [2022-07-15T12:32:22.985908 #46384] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/bin/kitchen:11:in `<top (required)>'
E, [2022-07-15T12:32:22.985966 #46384] ERROR -- Kitchen: C:/opscode/chef-workstation/bin/kitchen:407:in `load'
E, [2022-07-15T12:32:22.985995 #46384] ERROR -- Kitchen: C:/opscode/chef-workstation/bin/kitchen:407:in `<main>'
E, [2022-07-15T12:32:22.986020 #46384] ERROR -- Kitchen: ----End Backtrace-----
